codigo,producto,unidad_medida,descripcion
0239,UVAS NEGRAS - KG,KG,
024,ANCO - UNIDAD,UNIDAD,
0240,UVAS ROJAS - KG,KG,
0241,VERDEO - ATADO,ATADO,
0242,VERDURAS SOPA - BANDEJA,BANDEJA,
0243,ZANAHORIA - BOLSA,BOLSA,
0244,ZANAHORIA - KG,KG,
0245,ZAPALLITO - CAJA,CAJA,
0246,ZAPALLITO - KG,KG,
0247,ZUCCHINI - CAJA,CAJA,
0248,ZUCCHINI - KG,KG,
0249,REMOLACHA - KG,KG,
025,APIO - CAJA,CAJA,
0250,HUEVOS - CAJA,CAJA,
0251,FRAMBUESAS - CUBETA,CUBETA,
0252,VACIO - UNIDAD,UNIDAD,
0253,RECUPERO VACIO - UNIDAD,UNIDAD,
0254,ECHALOTE - KG,KG,
0255,CONDIMENTO ARROZ - KG,KG,
0256,PORTOBELLO - BANDEJA,BANDEJA,
0257,ZAPALLO PLOMO - KG,KG,
0258,FLORES JAMAICA - BANDEJA,BANDEJA,
026,APIO - PLANTA,PLANTA,
027,ARANDANO - CUBETA,CUBETA,
028,ARANDANO - CAJA,CAJA,
029,ARVEJAS - KG,KG,
030,AZAFRAN - KG,KG,
031,BANANA - CAJA,CAJA,
032,BANANA - KG,KG,
033,BATATA - BOLSA,BOLSA,
034,BATATA - KG,KG,
035,BERENJENA - CAJA,CAJA,
036,BERENJENA - KG,KG,
037,BERRO - ATADO,ATADO,
038,BONIATO - BOLSA,BOLSA,
039,BONIATO - KG,KG,
040,BROCOLI - CAJA,CAJA,
041,BROCOLI - KG,KG,
042,BROCOLI - UNIDAD,UNIDAD,
043,BROTES ARVEJA - BANDEJA,BANDEJA,
044,BROTES SOJA - BANDEJA,BANDEJA,
045,BROTES ALFALFA - BANDEJA,BANDEJA,
046,BROTES RABANITO - BANDEJA,BANDEJA,
047,CABUTIA - BOLSA,BOLSA,
048,CABUTIA - KG,KG,
049,CABUTIA - UNIDAD,UNIDAD,
050,CANELA - KG,KG,
051,CAQUI - CAJA,CAJA,
052,CARBON - BOLSA,BOLSA,
053,CEBOLLA - BOLSA,BOLSA,
054,CEBOLLA - KG,KG,
055,CEBOLLA MORADA - BOLSA,BOLSA,
056,CEBOLLA MORADA - KG,KG,
057,CEBOLLON - BOLSA,BOLSA,
058,CEBOLLON - KG,KG,
059,CEREZA - CAJA,CAJA,
060,CEREZA - KG,KG,
061,CHAMPINONES - BANDEJA,BANDEJA,
062,CHAMPINONES - KG,KG,
063,CHAUCHA - CAJA,CAJA,
064,CHAUCHA - KG,KG,
065,CHIMICHURRI DESHIDRATADO - KG,KG,
066,CHOCLO - CAJA,CAJA,
067,CHOCLO - UNIDAD,UNIDAD,
068,CIBOULETTE - ATADO,ATADO,
069,CILANTRO - ATADO,ATADO,
070,CIRUELA - CAJA,CAJA,
071,CIRUELA - KG,KG,
072,CLAVO DE OLOR - KG,KG,
073,COLIFLOR - CAJA,CAJA,
074,COLIFLOR - KG,KG,
075,COLIFLOR - UNIDAD,UNIDAD,
076,COMINO - KG,KG,
077,CURCUMA - KG,KG,
078,CURRY - KG,KG,
079,DAMASCO - KG,KG,
080,DURAZNO - CAJA,CAJA,
081,DURAZNO - KG,KG,
082,ENDIVIAS - BANDEJA,BANDEJA,
083,ENELDO - ATADO,ATADO,
084,ENSALADA - BANDEJA,BANDEJA,
085,ESPARRAGO - ATADO,ATADO,
086,ESPINACA - ATADO,ATADO,
087,ESPINACA - CAJA,CAJA,
088,FLORES COMESTIBLES - BANDEJA,BANDEJA,
089,FRAMBUESAS - CAJA,CAJA,
090,FRUTILLAS - CAJA,CAJA,
091,FRUTILLAS - KG,KG,
092,FRUTOS ROJOS - CAJA,CAJA,
093,FRUTOS ROJOS - KG,KG,
094,GIRGOLA - KG,KG,
095,GIRGOLA - BANDEJA,BANDEJA,
096,HABAS - BANDEJA,BANDEJA,
097,HABAS - KG,KG,
098,HIERBA BUENA - ATADO,ATADO,
099,HIERBAS AROMATICAS - ATADO,ATADO,
