wix_id,wix_producto,dux_codigo,dux_producto,factor
a399db57-7f2b-f93b-ae33-dda8d8329c1e,ESPINACA - ATADO,086,ESPINACA - ATADO,1.0
037aeb23-1177-2ca2-d436-933a581b4c2c,FRUTILLAS - 1/2 KG,091,FRUTILLAS - KG,0.5
4d1fe119-8dd0-58de-7b71-5b0fbd923c0b,HUEVOS - MAPLE,0103,HUEVOS - MAPLE,1.0
98ecf7b0-482c-7785-ad10-104665436b72,JENGIBRE - 1/4 KG,0106,JENGIBRE - KG,0.25
4df147a4-65db-6608-7df9-413105cb74cd,KALE - ATADO,0107,KALE - ATADO,1.0
4bef3239-3661-8c69-6fe9-6fb028428276,KIWI - UNIDAD,0109,KIWI - KG,0.1
e3a79bd0-da57-8d26-6c98-f57e35607d5b,LECHUGA - 1/2 KG,,,1.0
05177c56-6b87-1863-4c3c-d3e553546706,LIMA - UNIDAD,0127,LIMA - KG,0.1
5ccddbd0-7eba-bbdc-1c41-ee132b876ed3,LIMON - UNIDAD,0129,LIMON - KG,0.15
3262ea5d-7ede-b39e-67fa-6812e1200848,MANDARINA - KG,0132,MANDARINA - KG,1.0
d9e1e350-ffea-a862-aec7-8cf2c748240b,MANDIOCA - KG,0133,MANDIOCA - KG,1.0
96d7b535-b383-ddb1-0b57-1f3d538b4835,MANGO - UNIDAD,0135,MANGO - UNIDAD,1.0
f30fdbbf-1af4-d2a9-a830-7a754dd0386d,MANZANA ROJA PREMIUM - UNIDAD,0139,MANZANA ROJA PREMIUM - KG,0.2
10af7f5b-9110-2ce4-752e-1bbb6587d6c2,MANZANA VERDE - UNIDAD,0141,MANZANA VERDE - KG,0.2
495aaa50-3706-254b-66f5-b6b7223c28a0,MELON - UNIDAD,0147,MELON - UNIDAD,1.0
3542ee0b-2975-cd23-aaea-9d4bc964ac36,MIEL - KG,0150,MIEL - KG,1.0
c2af38c9-82d9-962b-ad4f-f910b9c1913e,MORRON ROJO - UNIDAD,0158,MORRON ROJO - KG,0.2
1af52c4e-01f9-34f0-0fea-f3c42812feab,MORRON VERDE - UNIDAD,0160,MORRON VERDE - KG,0.2
bd23b297-e6db-8399-a94f-251fff42c80b,NARANJA JUGO - UNIDAD,0164,NARANJA JUGO - KG,0.2
7319936a-500e-3868-9bc1-829e7dc71332,PACK - FRUTAS,,,1.0
8c85eca5-1f41-f40f-a0db-83b947721f15,PACK - LARGE,,,1.0
8001e0e2-59ad-6103-ad50-9b90a6186cb3,PACK - XTRA LARGE,,,1.0
0d2e47e2-c4a3-a060-8b05-68d251d2e95a,PALTA - UNIDAD,0176,PALTA - UNIDAD,1.0
974c00cf-95d8-18ab-e293-49920528b7d7,PAPA LAVADA - KG,0180,PAPA LAVADA - KG,1.0
f3f9dbff-cf71-f45f-f3a5-7a6f570aa115,PAPINES ANDINOS - KG,0185,PAPINES ANDINOS - KG,1.0
543dbc33-8d21-62ff-c458-449d6bdcd4f7,PEPINO - UNIDAD,0190,PEPINO - KG,0.3
bf6456c4-be66-e92b-2647-ecbfb9eb4ac1,PERA PREMIUM - UNIDAD,0194,PERA PREMIUM - KG,0.2
95f6b092-81fa-0b89-b05e-de8d12d76a6a,PEREJIL - 1/4 Kg,0195,PEREJIL - ATADO,0.25
3b9b27f7-74d9-950c-cd3e-5468ac394fa0,POMELO - UNIDAD,0204,POMELO - KG,0.4
b0b767d6-9785-5529-b7ff-22338a8ab7cf,PUERRO - 1/2 KG,0208,PUERRO - KG,0.5
3f34d8a0-4543-6295-9b90-51cfe8430fad,REMOLACHA - ATADO,0213,REMOLACHA - ATADO,1.0
dc4b889a-b79d-264e-382c-e3d47b33fd93,REPOLLITOS DE BRUSELAS - BANDEJA,0215,REPOLLITOS DE BRUSELAS - BANDEJA,1.0
0d8f750d-990d-6d55-b805-ed1113491b25,REPOLLO BLANCO - UNIDAD,0218,REPOLLO BLANCO - UNIDAD,1.0
